Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_1206_3216Metric",97.500000,82.200000,90.000000,top
"C2","10uF","C_1206_3216Metric",84.800000,75.000000,180.000000,top
"C3","10uF","C_1206_3216Metric",84.800000,83.000000,180.000000,top
"C4","100nF","C_0402_1005Metric",96.400000,72.800000,0.000000,top
"C5","10nF","C_0402_1005Metric",95.700000,74.900000,90.000000,top
"C6","100nF","C_0402_1005Metric",89.800000,79.000000,180.000000,top
"C7","10uF","C_1206_3216Metric",84.800000,87.900000,180.000000,top
"C8","10uF","C_1206_3216Metric",84.800000,72.600000,180.000000,top
"C9","100pF","C_0402_1005Metric",99.500000,72.800000,180.000000,top
"C10","10uF","C_1206_3216Metric",84.800000,85.500000,180.000000,top
"C11","10uF","C_1206_3216Metric",84.800000,70.200000,180.000000,top
"C12","10uF","C_1206_3216Metric",108.500000,75.700000,90.000000,top
"C13","10uF","C_1206_3216Metric",106.300000,75.700000,90.000000,top
"C14","10uF","C_1206_3216Metric",75.300000,72.000000,-90.000000,top
"C15","10uF","C_1206_3216Metric",73.000000,72.000000,-90.000000,top
"C16","10uF","C_1206_3216Metric",108.000000,80.000000,180.000000,top
"C17","10uF","C_1206_3216Metric",108.000000,82.300000,180.000000,top
"C18","1uF","C_0603_1608Metric",21.000000,46.900000,0.000000,top
"C19","1uF","C_0603_1608Metric",102.000000,50.800000,180.000000,top
"C20","1uF","C_0603_1608Metric",29.900000,26.300000,0.000000,top
"C21","1uF","C_0603_1608Metric",95.000000,52.000000,180.000000,top
"C22","4u7F","C_0603_1608Metric",21.000000,40.900000,0.000000,top
"C23","4u7F","C_0603_1608Metric",102.000000,56.800000,180.000000,top
"C24","4u7F","C_0603_1608Metric",29.900000,20.300000,0.000000,top
"C25","4u7F","C_0603_1608Metric",95.000000,58.000000,180.000000,top
"C26","1uF","C_0603_1608Metric",20.000000,38.400000,-90.000000,top
"C27","1uF","C_0603_1608Metric",103.000000,59.300000,90.000000,top
"C28","1uF","C_0603_1608Metric",28.900000,18.100000,-90.000000,top
"C29","100nF","C_0402_1005Metric",91.518900,45.800000,0.000000,top
"C30","10nF","C_0402_1005Metric",111.000000,90.500000,-90.000000,top
"C31","100nF","C_0402_1005Metric",99.898900,39.423600,90.000000,top
"C32","100nF","C_0402_1005Metric",91.498900,43.263600,0.000000,top
"C33","100nF","C_0402_1005Metric",96.300000,37.400000,90.000000,top
"C34","100nF","C_0402_1005Metric",99.900000,41.675000,90.000000,top
"C35","DNP","C_0402_1005Metric",97.500000,37.400000,-90.000000,top
"C36","DNP","C_0402_1005Metric",89.200000,39.000000,-90.000000,top
"C37","DNP","C_0402_1005Metric",89.200000,43.300000,-90.000000,top
"C38","56pF","C_0402_1005Metric",89.200000,36.700000,90.000000,top
"C39","10nF","C_0402_1005Metric",95.000000,90.500000,90.000000,top
"C40","DNP","C_0402_1005Metric",99.900000,37.400000,90.000000,top
"C41","DNP","C_0402_1005Metric",85.200000,39.000000,-90.000000,top
"C42","DNP","C_0402_1005Metric",85.200000,43.300000,-90.000000,top
"C43","180pF","C_0402_1005Metric",85.200000,36.700000,90.000000,top
"C44","DNP","C_0402_1005Metric",102.300000,37.400000,-90.000000,top
"C45","DNP","C_0402_1005Metric",81.200000,39.000000,-90.000000,top
"C46","DNP","C_0402_1005Metric",81.200000,43.300000,-90.000000,top
"C47","56pF","C_0402_1005Metric",81.200000,36.700000,90.000000,top
"C48","100nF","C_0402_1005Metric",74.000000,36.000000,0.000000,top
"C49","10uF","C_1206_3216Metric",92.000000,54.600000,-90.000000,top
"C50","1uF","C_0603_1608Metric",80.600000,57.900000,90.000000,top
"C51","10nF","C_0402_1005Metric",72.900000,50.500000,180.000000,top
"C52","1uF","C_0603_1608Metric",75.500000,57.900000,90.000000,top
"C53","10uF","C_1206_3216Metric",79.200000,54.900000,180.000000,top
"C54","100nF","C_0402_1005Metric",72.900000,49.300000,0.000000,top
"C55","100nF","C_0402_1005Metric",72.900000,51.700000,0.000000,top
"C56","100nF","C_0402_1005Metric",65.700000,45.500000,-90.000000,top
"C57","100nF","C_0402_1005Metric",73.300000,58.700000,0.000000,top
"C58","1uF","C_0402_1005Metric",71.100000,45.500000,-90.000000,top
"C59","1uF","C_0402_1005Metric",66.900000,45.500000,-90.000000,top
"C60","1uF","C_0402_1005Metric",69.900000,45.500000,-90.000000,top
"C61","100nF","C_0402_1005Metric",64.300000,46.800000,-90.000000,top
