"null","Sourced","Placed","References","Value","Footprint","Quantity"
1,"✓","✓","C4, C6, C29, C31, C32, C33, C34, C48, C54, C55, C56, C57, C61, C62, C64, C69, C70, C72, C73, C75, C76, C77, C83, C84, C85, C86, C91, C94, C97, C98, C102, C103, C114, C115, C116, C117, C118, C119, C122, C132, C134, C135, C139, C140, C151, C152, C153, C154, C155, C156, C159, C169, C181, C182, C183, C185, C186, C190, C193, C199, C200, C201, C204, C205, C206, C207, C208, C209, C210, C211, C212, C213, C214, C215, C216, C217, C218, C219, C220, C221, C222, C269, C270","100nF","C_0402_1005Metric",83
2,"✓","✓","C9, C223, C224, C225, C226, C227, C228, C229, C230, C231, C232, C233, C234, C235, C236, C237, C238, C239, C240, C241, C242, C243, C244, C245, C246, C247, C248, C249, C250, C251, C252, C253, C254, C255, C256, C257, C258, C259, C260, C261, C262, C263, C264, C265, C266, C267, C268, C271, C272, C273, C274","100pF","C_0402_1005Metric",51
3,"✓","✓","C5, C30, C39, C51, C80, C93, C104, C105, C106, C111, C120, C123, C141, C142, C143, C148, C157, C160, C171, C172, C175, C180, C191, C192","10nF","C_0402_1005Metric",24
4,"✓","✓","C58, C59, C60, C87, C88, C89, C100, C101, C108, C129, C131, C137, C138, C145, C166, C168, C177, C195, C198, C202, C203","1uF","C_0402_1005Metric",21
5,"✓","✓","C35, C36, C37, C40, C41, C42, C44, C45, C46, C107, C112, C113, C144, C149, C150, C173, C174, C176","DNP","C_0402_1005Metric",18
6,"✓","✓","C1, C2, C3, C7, C8, C10, C11, C12, C13, C14, C15, C16, C17, C49, C53, C78, C82","10uF","C_1206_3216Metric",17
7,"✓","","C65, C68, C71, C74, C96, C99, C109, C110, C133, C136, C146, C147, C170, C178, C179","100nF/RF","C_0402_1005Metric",15
8,"✓","✓","C121, C125, C126, C127, C158, C162, C163, C164, C184, C187, C188, C189","330pF","C_0402_1005Metric",12
9,"✓","✓","C18, C19, C20, C21, C26, C27, C28, C50, C52, C79, C81","1uF","C_0603_1608Metric",11
10,"✓","✓","C22, C23, C24, C25","4u7F","C_0603_1608Metric",4
